title,authors,publisher,blurb
"NBLA Biblia Aventura, Leathersoft, Coral, Interior a color, con Cierre",  NBLANueva Biblia de Las Américas Vida,Vida,"En esta edición revisada la NBLA Biblia Aventura, ahora con el texto bíblico de la NBLA, los niños de 8 a 12 años descubrirán el tesoro de la Palabra de Dios. Llena de grandes aventuras y características emocionantes, la NBLA Biblia Aventura abre un nuevo encuentro con las Escrituras para los niños, especialmente en un momento en el que están tratando de desarrollar sus propias ideas y opiniones independientemente de sus padres. Diseñada para despertar la curiosidad, sus características incluyen: A todo color, con información más interesante sobre la Biblia y lo que significa ser cristiano. La vida en los tiempos bíblicos – ayuda a los niños a entender cómo era la vida en tiempos de la Biblia Personajes de los tiempos bíblicos – ayuda a los lectores a distinguir entre Zacarías y Sofonías, y entre Josafat y Joás Palabras del tesoro – destaca versos bíblicos populares para que los niños los memoricen ¿Lo sabías? – señala muchos de los hechos y cifras interesantes que se encuentran en la Biblia ¡Vívela! – sugiere actividades, como representar una historia o dibujar una caricatura para reforzar las lecciones bíblicas Introducciones a los libros con datos útiles sobre cada libro de la Biblia (quién lo escribió, dónde tuvo lugar y por qué se escribió) Índice de tópicos Texto completo de la Nueva Biblia de las Américas (NBLA) Las ilustraciones coloridas, entre muchas actividades más, hacen de esta Biblia un libro único para los que inician en la hermosa aventura de fe en Jesús. NBLA Adventure Bible In this revised edition of the NBLA Adventure Bible, now with the Bible text of the NBLA, kids 8-12 will discover the treasure of God’s Word. Filled with great adventures and exciting features, the NBLA Adventure Bible opens a fresh new encounter with Scripture for kids, especially at a time when they are trying to develop their own ideas and opinions independent of their parents. Designed to spark curiosity, features include: Read Full Overview"
Historia desconocida del Nuevo Testamento, José María Ribas Alba,Editorial Almuzara,"¿Podemos saber la fecha exacta del nacimiento y la muerte de Jesús de Nazaret? ¿Qué aportan los escritos de Qumrán al Nuevo Testamento? ¿Es Jesús de Nazaret un mito o un personaje histórico? ¿Cómo se puede valorar la literatura apócrifa, por ejemplo, el evangelio de María o de Judas? ¿Hay alguna relación entre el Apocalipsis y las apariciones de Fátima? ¿Fueron Pablo de Tarso y Séneca amigos? Poner la otra mejilla o dad al César lo que es del César y a Dios lo que es de Dios, son, entre muchas otras, frases evangélicas que escuchamos a menudo en conversaciones cotidianas. De varios de los personajes que aparecen en sus páginas, empezando por Jesús de Nazaret y siguiendo por otros tales como Judas, los fariseos, Herodes, Barrabás o Poncio Pilato, todo el mundo tiene una cierta opinión. Películas, series, novelas «históricas» (a veces hábilmente camufladas y aceptadas por seguidores entusiastas como historia «de verdad») y documentales, en los que suele brillar una fértil imaginación, explotan continuamente el enorme interés que despiertan los asuntos bíblicos y, en especial, los que conciernen a la figura de Jesús de Nazaret. Encuentran un público amplio, siempre atento a los últimos descubrimientos; mucho mejor si hay por medio algún «escándalo» de reciente aparición (y que al final resulta que no era tan nuevo o no era tan escandaloso). Un público interesado que, paradójicamente, cada vez posee una cultura religiosa más débil y maleable. Con contenidos que en algunos casos sorprenderán al lector, por ser poco conocidos o porque la interpretación propuesta se aleja de los planteamientos habituales, Rivas aviva la legítima curiosidad del lector motivándole a la lectura directa del Nuevo Testamento. Can we know the exact date of the birth and death of Jesus of Nazareth? What do the Qumran writings contribute to the New Testament? Is Jesus of Nazareth a myth or a historical character? Is there any relationship between the Apocalypse and the apparitions of Fatima? Were Paul of Tarsus and Seneca friends? With contents that in some cases will surprise the reader because they are little known or because the proposed interpretation is far from the usual approaches, Rivas enlivens the legitimate curiosity of the reader, motivating him to read the New Testament directly."
Sistemas automatizados de trading, Laurens Bensdorp,"Obelisco, Ediciones S.A.","El crecimiento constante que supera los índices de referencia, combinado con un riesgo reducido, son el santo grial de los traders de todo el mundo. Laurens Bensdorp ha logrado ambos durante más de una década. Al combinar varios sistemas de negociación cuantitativos que funcionan bien en diferentes tipos de mercados (alcista, bajista o lateral), su sistema general sistematizado y automatizado ofrece resultados superlativos independientemente del comportamiento general del mercado. En su segundo libro, Sistemas automatizados de trading, Bensdorp detalla un enfoque de múltiples sistemas no correlacionados que puedes comprender y construir a tu medida. Utilizando la acción histórica del precio para desarrollar ventajas estadísticas, se ha demostrado que sus sistemas automatizados combinados ofrecen rendimientos simulados constantes altos con muy bajas pérdidas durante los últimos 24 años, sin importar cómo se hayan comportado los índices del mercado. Siguiendo su enfoque, los traders pueden lograr rendimientos superiores fiables sin riesgo excesivo. Consistent growth that outperforms benchmarks, combined with reduced risk, are the holy grail of traders around the world. Laurens Bensdorp has achieved both for over a decade. By combining several well-performing quantitative trading systems in different types of markets (bullish, bearish, or sideways), his systematized and automated overall system delivers superlative results regardless of general market behavior. In his second book, Automated Trading Systems, Bensdorp details an approach of multiple, uncorrelated systems that you can understand and build to suit you. Using historical price action to develop statistical advantages, their automated blended systems have been shown to deliver consistently high simulated returns with very low losses over the past 24 years, no matter how market indices have performed. Following his approach, traders can achieve reliable superior returns without excessive risk."
Ella que llegó a ser el sol, Shelly ParkerChan,"Urano Publishing, Inc.","En un pueblo situado en una polvorienta llanura y arrasado por el hambre, un vidente muestra a dos niños su destino. Para el octavo hijo de la familia hay grandeza. Para la segunda hija no hay nada. En 1345, China yace inquieta bajo el severo gobierno mongol. Cuando un ataque de unos bandidos aniquila su hogar, los dos niños se ven forzados a sobrevivir como pueden. Zhu Chongba sucumbe a la desesperación, pero la niña decide sobreponerse a su destino y, robando la identidad de su hermano muerto, comienza su viaje. ¿Podrá Zhu escapar de lo que está escrito en las estrellas mientras la rebelión avanza por su país? ¿O podrá apropiarse de la grandeza de su hermano y escalar tan alto como se lo proponga? Esta obra es una gloriosa historia de amor, pérdida, traición y triunfo escrita por una poderosa nueva voz. In a famine-stricken village on a dusty yellow plain, two children are given two fates. A boy, greatness. A girl, nothingness… In 1345, China lies under harsh Mongol rule. For the starving peasants of the Central Plains, greatness is something found only in stories. When the Zhu family’s eighth-born son, Zhu Chongba, is given a fate of greatness, everyone is mystified as to how it will come to pass. The fate of nothingness received by the family’s clever and capable second daughter, on the other hand, is only as expected. When a bandit attack orphans the two children, though, it is Zhu Chongba who succumbs to despair and dies. Desperate to escape her own fated death, the girl uses her brother's identity to enter a monastery as a young male novice. There, propelled by her burning desire to survive, Zhu learns she is capable of doing whatever it takes, no matter how callous, to stay hidden from her fate. After her sanctuary is destroyed for supporting the rebellion against Mongol rule, Zhu takes the chance to claim another future altogether: her brother's abandoned greatness."
Fuego en Oxford, Cara Hunter,Duomo ediciones,"Las apacibles calles de Oxford se encuentran en plenas celebraciones navideñas, cuando un incendio irrumpe en la oscuridad de la noche. Los bomberos se afanan en apagarlo y logran localizar a dos niños. Pero todos se preguntan dónde están los padres, y más aún cuando se confirma que el incendio fue provocado. Cara Hunter vuelve con una nueva entrega de la serie del inspector Adam Fawley, que deberá descubrir quién ha provocado el fatídico siniestro y por qué. Tras ¿Quién se ha llevado a Daisy Mason? y El sótano de Oxford, este es, sin duda, el caso más aterrador al que deberá enfrentarse el detective. It's one of the most disturbing cases DI Fawley has ever worked. The Christmas holidays, and two children have just been pulled from the wreckage of their burning home in North Oxford. The toddler is dead, and his brother is soon fighting for his life. Why were they left in the house alone? Where is their mother, and why is their father not answering his phone? Then new evidence is discovered, and DI Fawley's worst nightmare comes true. Because this fire wasn't an accident. It was murder. And the killer is still out there..."
No hay manera (Hermanos Martí 5), Anna Casanovas,"Urano Publishing, Inc.","¿Qué haces cuando en la cola para matricularte en la universidad aparece un chico que hace que te cuestiones la decisión más importante de tu vida y después desaparece sin dejar rastro? Esto es lo que le sucede a Martina el día que conoce a Leo, con quien comparte una tarde de confesiones y una mágica conexión que nunca antes había sentido. Leo, que se esfuma como si nunca se hubiesen conocido y reaparece años más tarde para poner su mundo patas arriba de nuevo. Leo, que la busca, le rompe el corazón y parece destinado a interrumpir su vida cuando menos se lo espera. Cuando se le presenta la oportunidad de hablar con él cara a cara para exigirle explicaciones, Martina no lo duda: aislados en una cabaña en medio de las montañas, sabe que Leo no podrá huir y evitar darle las respuestas que se merece. What do you do when a guy shows up in line to enroll in college, makes you question the biggest decision of your life, and then disappears without a trace? This is what happens to Martina the day she meets Leo, with whom she shares an afternoon of confessions and a magical connection that she had never felt before. Leo, who vanishes as if they had never met and reappears years later to turn her world upside down again. Searching for her, Leo breaks her heart and seems destined to disrupt her life when she least expects it. When she has the opportunity to talk to him face to face to demand explanations, Martina does not hesitate: isolated in a cabin in the middle of the mountains, she knows that Leo will not be able to run away from her and avoid giving her the answers she deserves."
"Chica del tiempo, La", Rachel Lynn Solomon,"Urano Publishing, Inc.","Una meteoróloga y un periodista deportivo trazan un plan para reconciliar a sus respectivos jefes divorciados con resultados imprevisibles. A Ari Abrams siempre le ha fascinado el tiempo y adora casi todo de su trabajo como mujer del tiempo. Su jefa, la legendaria meteoróloga Torrance Hale, está demasiado distraída con la tempestuosa relación con su ex marido, el director de informativos, como para proporcionar a Ari la orientación laboral que necesita. Ari, que suele derrochar alegría y optimismo, está desesperada. La única persona que parece entender cómo se siente es el dulce pero reservado periodista deportivo Russell Barringer. Después de una desastrosa fiesta, Ari y Russell deciden unir fuerzas para resolver los problemas de la relación entre sus jefes. Entre regalos secretos y citas dobles, empiezan a lograr la tan deseada reconciliación. Sin embargo, su bienintencionada intromisión produce un efecto inesperado al hacer saltar la chispa… entre Ari y Russell. Trabajar cerca de Russell implica permitirle conocer partes de ella que mantiene ocultas a ojos del resto del mundo. ¿Será él capaz de aceptar sus oscuros nubarrones de la misma forma que sus cielos despejados? Ari Abrams has always been fascinated by the weather, and she loves almost everything about her job as a TV meteorologist. Her boss, legendary Seattle weatherwoman Torrance Hale, is too distracted by her tempestuous relationship with her ex-husband, the station’s news director, to give Ari the mentorship she wants. Ari, who runs on sunshine and optimism, is at her wits’ end. The only person who seems to understand how she feels is sweet but reserved sports reporter Russell Barringer. In the aftermath of a disastrous holiday party, Ari and Russell decide to team up to solve their bosses’ relationship issues. Between secret gifts and double dates, they start nudging their bosses back together. But their well-meaning meddling backfires when the real chemistry builds between Ari and Russell. Working closely with Russell means allowing him to get to know parts of herself that Ari keeps hidden from everyone. Will he be able to embrace her dark clouds as well as her clear skies?"
10 ideas para salvar el mundo con el poder de la amabilidad, Eleonora Fornasari,"Lectorum Publications, Inc.","Kindness is a very powerful force. Even small gestures can have a tremendous impact. This book presents 10 simple ideas guaranteed to make the world a better place. They include be kind to yourself, pay attention to others, forgive, and tell people what you like about them."
La gata Jet (no es una gata),  Phaea Crede Terry Runyan Illustrator,Barefoot Books,"Jet the cat likes to swim. When the other animals tell her that cats actually hate water, she goes in search of her true identity. After failing to fit the description of a variety of animals, Jet finally learns to embrace her unique brand of catness. A timely tale that humorously challenges labels and celebrates defining one’s own unique identity, now in Spanish!"
Así que esto es un felices para siempre, FT Lukens,"Urano Publishing, Inc.","Arek no había pensado demasiado en lo que pasaría tras completar la profecía que decía que estaba destinado a salvar el Reino de Ere de su pérfido gobernante. Así que, ahora que ha conseguido (de forma algo torpe) decapitar al rey malvado (resulta que las espadas mágicas encontradas en las ciénagas no vienen afiladas de fábrica), él y su variopinto grupo de compañeros de misión no saben qué hacer. Como salvaguardia temporal, el mejor amigo de Arek y mago, Matt, le convence para asumir el trono hasta que la verdadera heredera pueda ser rescatada de su torre. Pero hay un problema: está muerta. Ahora Arek está atrapado en su nuevo cargo, uno que conlleva una trampa mágica: o escoges un alma gemela antes de tu decimoctavo cumpleaños o te marchitas hasta no ser nada. Con su decimoctavo cumpleaños a la vuelta de la esquina, Arek se embarca en una misión para encontrar cónyuge y salvar su vida. Pero sus intentos de seducir a sus amigos van desastrosamente mal... hasta que descubre que el amor podría haber estado frente a él todo ese tiempo. Arek hadn't given much thought to what would happen after completing the prophecy that said he was destined to save the Kingdom of Ere from its treacherous ruler. So now that he's (somewhat clumsily) managed to behead the evil king (magic swords found in the swamps, it turns out, don't come sharpened from the factory), he and his motley crew of quest mates don't know what to do. As a temporary safeguard, Arek's best friend and wizard, Matt, convinces him to assume the throne until the true heiress can be rescued from her tower. But there is a problem: she is dead. Now Arek is trapped in his new position, one that carries a magical trap: either you choose a soulmate before your eighteenth birthday or you wither away to nothing. With his eighteenth birthday just around the corner, Arek embarks on a quest to find a spouse and save his life. But his attempts to seduce his friends go disastrously wrong until he discovers that love could have been right in front of him all along."
Cómo empezar, Michael Bungay Stanier,"Urano Publishing, Inc.","Esta es tu guía práctica para encontrar el foco y el coraje para plantearte un objetivo que valga la pena: Una vez que tengas ese faro que te guíe, te ayudará a crecer y mejorar permanentemente. Con el ya tradicional sentido del humor de Michael, y su claridad, podrás transitar un proceso probado para descubrir y fortalecer tus metas hasta llegar a ser lo mejor que puedas ser, tener absoluta claridad mental acerca de lo que estás buscando y conocer cuál es tu compromiso, para poder desarrollar los recursos que se necesiten. No tienes por qué hacer el viaje solo, crea el impulso necesario para cambiar tu vida y no te arrepientas de las cosas que no has hecho. Utiliza este libro para hacer cosas que importan. Michael Bungay Stanier consigue destilar grandes y complejas ideas en un conocimiento accesible y práctico, para ayudar a la gente a dar lo mejor de sí. This is your practical guide to finding the focus and courage to set a Worthy Goal: one that lights you up, compels you to grow, and serves a bigger game by being thrilling, important, and daunting. With Michael’s trademark humor, compassion, and laser-focused clarity, you’ll walk through a tested process to: find and strengthen your Worthy Goal to the very best it can be, get absolutely clear on your commitment so you know what you’re up for, develop the resources to cross the threshold, so you don’t have to travel alone; build momentum, progress, and impact. Don’t regret a life half-lived. Use this book to start doing something that matters."
La conjura de la niebla / The Conjure of the Mist, Ángela Banzas,PRH Grupo Editorial,"Después del éxito de El silencio de las olas, Ángela Banzas regresa con una novela vibrante que mezcla superstición y leyendas gallegas con una investigación y un secreto familiar.  «Siempre supo que iba a suceder. No sabía cómo ni tampoco cuándo, pero sabía que el mal vivía en la niebla y se alimentaba del pueblo».  La desaparición de una adolescente sacude la pequeña localidad de Illa de Cruces. Allí la jueza Elena Casáis se hará cargo de la instrucción del caso pese a ignorar que ese suceso está conectado con la desaparición de la hermana de su madre, su tía Melisa. Un misterio de hace treinta años del que una mujer ingresada en un psiquiátrico y el viejo curandero de la isla guardarán las claves para resolverlo.   Después del éxito de El silencio de las olas, Ángela Banzas construye una historia vibrante en la que crímenes, intrigas y secretos familiares conviven con creencias y supersticiones populares bajo el telón de fondo de la Ría de Arousa. Un paisaje gallego protagonizado por el mar y un frondoso bosque de laureles en donde cruceiros de piedra custodian terribles secretos que la niebla quiere ocultar.  Instagram: angelabanzas  Natural de Santiago de Compostela, es licenciada en Ciencias Políticas y de la Administración por la Universidad de Santiago y MBA por la Escuela Europea de Negocios de Madrid. Su trayectoria profesional ha estado siempre ligada a la consultoría de Administración Pública. Su primera novela, El silencio de las olas (Suma de Letras, 2021), obtuvo un gran éxito de público y ventas. La conjura de la niebla es su segunda novela.  ENGLISH DESCRIPTION  After the success of The Silence of theWaves, Ángela Banzas returns with a vibrant novel mixing superstition and Galician legends with an investigation and a family secret.  “He always knew something was going to happen. He didn’t know how or when, but he knew evil dwelled in the mist and fed on the townspeople.” The disappearance of a teenage girl shakes the small town of Illa de Cruces. There, judge Elena Casáis will take on the pre-trial investigation, unaware that this event is linked to the disappearance of her mother’s sister, Aunt Melisa.  A mystery dating thirty years back, to which a woman committed to a mental hospital and the old healer of the island hold the key to solve. A Galician landscape featuring the sea and a lush forest of bay trees, where stone cruceirosguard terrible secrets the mist wants to hide. Read Full Overview"
La nueva soledad de America Latina / Latin Americas New Solitude. A Dialogue,   Ricardo Lagos Jorge G Castañeda Héctor Aguilar Camín,PRH Grupo Editorial,"«A través de las ideologías difícilmente vamos a avanzar en posiciones comunes. Latinoamérica tiene ciertas identidades propias, no ideológicas, desde las que puede hablar con una sola voz. Ésa es la voz que no existe, que desapareció en América Latina. Ahora es cuando debemos crear esa sola voz.» —Ricardo Lagos   Entre julio de 2020 y abril de 2022, Ricardo Lagos, Jorge G. Castañeda y Héctor Aguilar Camín sostuvieron una serie de encuentros virtuales para conversar sobre la situación de América Latina ante las diversas crisis globales del siglo XXI. La preocupación central y originaria de este diálogo es la condición de aislamiento de la región, debido a la división ideológica de los países, a la falta de foros de encuentro para sus gobiernos y, sobre todo, a la falta de una voz propia en el mundo.   Durante esta conversación a tres bandas —entre Santiago de Chile, Nueva York y Ciudad de México—, los interlocutores revisan cuestiones como la nueva guerra fría entre China y Estados Unidos y los retos que plantea para América Latina, los desafíos de la democracia ante el populismo y la convulsión del cambio digital, las causas y los efectos de la nueva ola de gobiernos de izquierda en la región, los problemas claves del crecimiento económico, y un mundo que ha salido más desigual de la pandemia. Lagos, Castañeda y Aguilar Camín reúnen su experiencia y su amplio conocimiento sobre la materia para discutir los graves problemas que aquejan a los países latinoamericanos en este momento de su historia y, sobre todo, plantean alternativas para salir de este aislamiento paralizador.  ENGLISH DESCRIPTION  “We will hardly move forward over common ground through ideologies. Latin America has certain identities of its own, non ideological, from which it can communicate through a single voice. This is the voice that doesn’t exist, that vanished in Latin America. Now is the time to create that one voice.” —Ricardo Lagos   From July, 2020 to April, 2022, Ricardo Lagos, Jorge G. Castañeda, and Héctor Aguilar Camín had a series of virtual meetings to discuss Latin America’s situation given the many global crises of the twenty-first century. The main concern that promoted this dialogue is the region’s confinement due to ideological divides between the countries, the lack of fora for governments to meet, and, above all, the lack of a voice of its own in the world.   During this three-way conversation—among Santiago de Chile, New York, and Mexico City—the parties reviewed issues such as the new cold war between China and the United States, and the challenges this poses to Latin America; the hurdles of democracy in the face of populism and the convulsion of digital change; the cause and effect of a new wave of left-wing governments in the region; key problems of economical growth, and a world that came out of the pandemic even more unequal. Lagos, Castañeda, and Aguilar Camín gather their experience and vast knowledge on the matter to discuss the major problems afflicting Latin American countries at this moment of history and, most importantly, they put forward alternatives to get out of this paralyzing seclusion. Read Full Overview"
Caperucita roja ninja,  Corey Rosen Schwartz Dan Santat,"Obelisco, Ediciones S.A.","¡Este lobo no consigue tener un respiro! Desde que los tres cerditos empezaron a enseñar a todo el mundo las habilidades ninja, soplar y resoplar no es suficiente para conseguir un buen banquete. El ansia del lobo por la carne le lleva a tomar clases en el gimnasio, y no tarda en atreverse a probar sus nuevos conocimientos. Una niña y su diminuta abuelita deberían ser objetivos fáciles, ¿verdad? ¡No si Caperucita Roja tiene algo que decir al respecto! ¡Kiya! This wolf can't get a break! Ever since the three little pigs started teaching everyone the ninja skills, huffing and puffing is not enough to get a good feast. The wolf's craving for meat drives him to take classes at the gym, and before long in daring to test their new knowledge. A girl and her tiny granny should be easy targets, right? Not if Little Red Riding Hood has anything to say about it!"
"Chica que nos devolvió el mar, La", Adrienne Young,"Urano Publishing, Inc.","Desde que tiene memoria, Tova ha vivido entre los Svell, el pueblo que la encontró varada en la orilla de niña y que la utiliza por el don que posee. Su propio hogar y su clan son recuerdos desgastados hace tiempo, pero los símbolos sagrados y pentagramas tatuados en cada rincón de su piel la marcan como la que puede tirar runas y ver el futuro. Ha encontrado un lugar frágil entre los que la temen, pero cuando dos clanes del este entierran el hacha de guerra al terminar su sanguinario conflicto y se unifican, su mundo está peligrosamente cerca de colapsar. Por primera vez en generaciones, los líderes de los Svell están divididos. ¿Deberían mantener la paz o ir a la guerra con los clanes aliados para proteger su recién hallado poder? Cuando el jefe pide a Tova que tire las runas, se ponen en marcha una serie de sucesos que no solo cambiarán el panorama del continente para siempre, sino que le darán algo que nunca creyó que volvería a tener: un hogar. For as long as she can remember, Tova has lived among the Svell, the people who found her washed ashore as a child and use her for her gift as a Truthtongue. Her own home and clan are long-faded memories, but the sacred symbols and staves inked over every inch of her skin mark her as one who can cast the rune stones and see into the future. She has found a fragile place among those who fear her, but when two clans to the east bury their age-old blood feud and join together as one, her world is dangerously close to collapse. For the first time in generations, the leaders of the Svell are divided. Should they maintain peace or go to war with the allied clans to protect their newfound power? And when their chieftain looks to Tova to cast the stones, she sets into motion a series of events that will not only change the landscape of the mainland forever but will give her something she believed she could never have again: a home."
Revelando el Apocalipsis / Revealing Revelation. How God's Plans for the Future Can Change Your Life Now,  Amir Tsarfati Rick Yohn Editor,PRH Grupo Editorial,"¡No hay mejor tiempo que ahora para empezar a prepararte para tu futuro eterno! Del autor bestseller Amir Tsarfati, Revelando el Apocalipsis examina lo que da a conocer el último libro de la Biblia sobre el final de los tiempos y más allá.  El Apocalipsis se escribió porque Dios quería que supiéramos lo que nos depara el futuro. Para los cristianos, las verdades proféticas que contiene aportan sabiduría, seguridad y discernimiento; pero para los no creyentes el Apocalipsis es una súplica para recibir la gracia divina mientras aún sea posible.   El autor bestseller Amir Tsarfati examina lo que da a conocer el Apocalipsis sobre el final de los tiempos y más allá. Guiado por enseñanzas accesibles que permiten a las escrituras hablar por sí mismas, observarás más de cerca: • La línea de tiempo que experimentarán los creyentes y no creyentes antes, durante y después de la tribulación. • El plan que el Señor preparó específicamente para el pueblo de Israel al final de los tiempos. • Exhortaciones, retos y advertencias que Jesús mismo dio para prepararnos para Su regreso.   Revelando el Apocalipsis aporta una mirada esclarecedora hacia lo que está por venir para todos en los últimos tiempos, ya sea en el cielo o en la tierra. ¿Estás preparado para lo que se avecina?  ENGLISH DESCRIPTION   There’s no time like right now to start preparing for your everlasting future! From bestselling author Amir Tsarfati, Revealing Revelation examines what the Bible’s final book makes known about the end times and beyond.  Revelation was written because God wants us to know what the future holds. For Christians, the prophetic truths within provide wisdom, reassurance, and discernment—while for unbelievers, Revelation is a plea to receive God’s grace while there is still time.   Bestselling author Amir Tsarfati examines what Revelation makes known about the end times and beyond. Guided by accessible teaching that lets Scripture speak for itself, you’ll take a closer look at the • timeline of what believers and nonbelievers will experience before, during, and after the tribulation • plan that the Lord has specifically prepared for the people of Israel in the end times • encouragements, challenges, and warnings Jesus Himself gave to prepare us for His return  provides an eye-opening look at what lies ahead for every person in the end times—either in heaven or on earth. Are you prepared for what is to come? Read Full Overview"
Cautivados por la Gracia: Nadie está demasiado lejos para nuestro amoroso Dios, David Jeremiah,Grupo Nelson,"El Dr. David Jeremiah brinda palabras oportunas y alentadoras para comenzar una nueva experiencia de la gracia de Dios. Hasta que uno se ha roto más de lo que se puede creer y necesita un milagro para su alma. Hasta que ha traicionado a un ser querido y no puede hacer que vuelva. Hasta que toda oscuridad lo ha envuelto y está desesperado por la luz. Siguiendo la dramática historia de John Newton, el autor del himno Sublime Gracia, y el propio encuentro del apóstol Pablo con el Dios de la gracia, el pastor y profesor Dr. David Jeremiah ayuda a los lectores a comprender el poder liberador del perdón y la misericordia permanentes. Cautivados por la gracia contiene historias dramáticas y reflexiones bíblicas que ponen de relieve los efectos muy personales de la gracia y cómo la gracia: atraviesa maravillosamente todas nuestras diferencias nos rescata de nuestro extravío nos ayuda a superar nuestras debilidades nos lleva de víctimas a vencedores Encontrarse con la gracia de Dios cambia la vida para siempre. Deje que el doctor David Jeremiah le muestre cómo la misericordia transformadora que cautivó al compositor John Newton y al apóstol Pablo puede despertar en usted una experiencia nueva del Dios que lo ama intrépidamente y lo busca con desenfreno. Captured by Grace Until you have been broken beyond belief and need a miracle for your soul. Until you have betrayed a loved one and cannot bring him back. Until you have befriended every darkness and are desperate for the light. By following the dramatic story of John Newton, the Amazing Grace hymn writer, and the apostle Paul's own encounter with the God of grace, pastor and teacher Dr. David Jeremiah helps readers understand the freeing power of permanent forgiveness and mercy. Captured by Grace contains dramatic stories and biblical insights that highlight the very personal effects of grace and how grace: wondrously spans all our differences rescues us from our lostness Read Full Overview"
"Refranes, adivinanzas y trabalenguas que te traerán de cabeza / Sayings, Riddles , and Tongue Twisters that Will Drive You Crazy",  Begona Oro Patri de Peter,PRH Grupo Editorial,"Una colección de trabalenguas, adivinanzas y refranes de la mano de Begoña Oro.   Una serie de adivinanzas, trabalenguas y refranes que hará reír tanto a grandes como a pequeños y los invitará a asumir retos y a ejercitar la memoria.  ENGLISH DESCRIPTION  A collection of tongue twisters, riddles, and sayings by Begoña Oro.   A series of riddles, tongue twisters, and sayings that will make both adults and children laugh out loud and invite them to take on challenges as they exercise their memory."
"Estrella, estrellita, la noche está cerquita", Giovanna Mantegazza,Duomo ediciones,Deja que el sonido de una de las canciones de cuna más bellas te arrulle. Para dormirse a la luz de las estrellas. Una pequeña historia de buenas noches que ayuda a abandonarse al sueño sin miedo. Let the sound of one of the most beautiful lullabies lull you to sleep. To fall asleep in the light of the stars. A little good night story that helps to abandon yourself to sleep without fear.
"Trader de treinta minutos diarios, El", Laurens Bensdorp,"Obelisco, Ediciones S.A.","Mediante la automatización de tu estrategia de trading puedes alcanzar la libertad económica y trabajar treinta minutos al día. En El trader de treinta minutos diarios, Laurens te guiará por todos los pasos para crear tu propia estrategia de trading automatizada probada y basada en datos históricos del comportamiento de los precios. También te mostrará cómo hacer encajar la estrategia en tu estilo de vida. Simplemente tienes que seguir las instrucciones de tu ordenador, y no necesitarás escuchar nunca más las noticias de los medios financieros. En este libro averiguarás por qué el enfoque clásico que usa la mayoría de la gente con respecto a las inversiones está abocado al fracaso; la prueba de que el trading automatizado funciona; cómo descubrir tu «personalidad en el trading»; tres estrategias probadas: con cifras exactas, normas para la entrada y la salida, y tablas y gráficas; y el «ingrediente que falta» para la libertad económica. Con la receta secreta de doce ingredientes para una estrategia de trading automatizada productiva con El trader de treinta minutos diarios, dispondrás de todos los conocimientos sobre cómo desarrollar tu propia estrategia personalizada para el trading para alcanzar la libertad económica y vivir de la forma que decidas. By automating your trading strategy you can achieve economic freedom and work thirty minutes a day. In The Thirty Minute Daily Trader, Laurens will guide you through all the steps to create your own automated trading strategy tested and based on historical data from the price behavior. She will also show you how to fit strategy into your style of life. You simply have to follow the instructions of your computer, and you will not need to listen ever again to the news of the financial media. In this book you will find out why the classical approach that most people use regarding investments is doomed to fail; the proof that automated trading works; how to discover your ""trading personality""; three strategies proven: with exact figures, rules for entry and exit, and tables and graphs; and the ""missing ingredient"" for economic freedom. With the secret recipe of twelve ingredients for a strategy of productive automated trading with The Thirty Minute Daily Trader, you will have all the knowledge on how to develop your own custom trading strategy to achieve economic freedom and live the way you choose."
